Date,Open,High,Low,Close,Volume,Adj Close
2016-11-28,2210.209961,2214.100098,2187.439941,2191.080078,4452482500,2191.080078
2016-11-21,2186.429932,2213.350098,2186.429932,2213.350098,3142047500,2213.350098
2016-11-14,2165.639893,2189.889893,2156.080078,2181.899902,4224642000,2181.899902
2016-11-07,2100.590088,2182.300049,2100.590088,2164.449951,5071366000,2164.449951
2016-10-31,2129.780029,2133.25,2083.790039,2085.179932,4085548000,2085.179932
2016-10-24,2148.50,2154.790039,2119.360107,2126.409912,3821640000,2126.409912
2016-10-17,2132.949951,2148.439941,2124.429932,2141.159912,3229816000,2141.159912
2016-10-10,2160.389893,2169.600098,2114.719971,2132.97998,3228104000,2132.97998
2016-10-03,2164.330078,2165.860107,2144.01001,2153.73999,3575286000,2153.73999
2016-09-26,2158.540039,2175.300049,2141.550049,2168.27002,3793592000,2168.27002
2016-09-19,2143.98999,2179.98999,2135.909912,2164.689941,3377168000,2164.689941
2016-09-12,2120.860107,2163.300049,2119.120117,2139.159912,4040866000,2139.159912
2016-09-06,2181.610107,2187.870117,2127.810059,2127.810059,3682217500,2127.810059
2016-08-29,2170.189941,2184.870117,2157.090088,2179.97998,3182242000,2179.97998
2016-08-22,2181.580078,2193.419922,2160.389893,2169.040039,3055794000,2169.040039
2016-08-15,2186.080078,2193.810059,2168.50,2183.870117,3209842000,2183.870117
2016-08-08,2183.76001,2188.449951,2172.00,2184.050049,3268124000,2184.050049
2016-08-01,2173.149902,2182.870117,2147.580078,2182.870117,3702708000,2182.870117
2016-07-25,2173.709961,2177.090088,2159.070068,2173.600098,3639634000,2173.600098
2016-07-18,2162.040039,2175.629883,2159.01001,2175.030029,3130338000,2175.030029
2016-07-11,2131.719971,2169.050049,2131.719971,2161.73999,3488338000,2161.73999
2016-07-05,2095.050049,2131.709961,2074.02002,2129.899902,3694952500,2129.899902
2016-06-27,2031.449951,2108.709961,1991.680054,2102.949951,4428096000,2102.949951
2016-06-20,2075.580078,2113.320068,2032.569946,2037.410034,4152773900,2037.410034
2016-06-13,2091.75,2098.120117,2050.370117,2071.219971,3855486000,2071.219971
2016-06-06,2100.830078,2120.550049,2089.959961,2096.070068,3468828000,2096.070068
2016-05-31,2100.129883,2105.26001,2085.100098,2099.129883,3825020000,2099.129883
2016-05-23,2052.22998,2099.060059,2047.26001,2099.060059,3370424000,2099.060059
2016-05-16,2046.530029,2071.879883,2025.910034,2052.320068,3813212000,2052.320068
2016-05-09,2057.550049,2084.870117,2043.130005,2046.609985,3714614000,2046.609985
2016-05-02,2067.169922,2083.419922,2039.449951,2057.139893,3975588000,2057.139893
